,p50,p90,p95
with_proxy_conc_1,2.880788499955088,5.960435240005609,6.692236595053689
with_proxy_conc_2,4.368254000029992,7.7557686799205845,8.885853855003367
with_proxy_conc_3,5.61419679998653,9.51625312998658,11.619538309983902
no_proxy_conc_1,3.4106259499676526,5.896350879990496,6.0375931900576685
no_proxy_conc_2,5.262280999915674,8.752785619953649,9.483056260016744
no_proxy_conc_3,5.280158699955791,10.452380749990699,13.492265870014664
